constituency_id,region,name,seats
rabat-ocean,Rabat-Salé-Kénitra,Rabat-Océan,4
rabat-chellah,Rabat-Salé-Kénitra,Rabat-Chellah,3
sale-medina,Rabat-Salé-Kénitra,Salé-Médina,4
sale-el-jadida,Rabat-Salé-Kénitra,Salé-El Jadida,3
skhirate-temara,Rabat-Salé-Kénitra,Skhirate-Témara,4
khemisset-oulmes,Rabat-Salé-Kénitra,Khémisset-Oulmès,3
tiflet-rommani,Rabat-Salé-Kénitra,Tiflet-Rommani,3
kenitra,Rabat-Salé-Kénitra,Kénitra,4
el-gharb,Rabat-Salé-Kénitra,El Gharb,3
sidi-slimane,Rabat-Salé-Kénitra,Sidi Slimane,3
sidi-kacem,Rabat-Salé-Kénitra,Sidi Kacem,5
laayoune,Laâyoune-Sakia El Hamra,Laâyoune,3
boujdour,Laâyoune-Sakia El Hamra,Boujdour,2
tarfaya,Laâyoune-Sakia El Hamra,Tarfaya,2
es-semara,Laâyoune-Sakia El Hamra,Es-Semara,2
oued-eddahab,Dakhla-Oued Eddahab,Oued Eddahab,2
aousserd,Dakhla-Oued Eddahab,Aousserd,2
errachidia,Drâa-Tafilalet,Errachidia,5
tinghir,Drâa-Tafilalet,Tinghir,3
zagora,Drâa-Tafilalet,Zagora,3
ouarzazate,Drâa-Tafilalet,Ouarzazate,3
midelt,Drâa-Tafilalet,Midelt,3
casablanca-anfa,Casablanca-Settat,Casablanca-Anfa,4
ben-m-sick,Casablanca-Settat,Ben M'sick,3
sidi-bernoussi,Casablanca-Settat,Sidi Bernoussi,3
al-fida-mers-sultan,Casablanca-Settat,Al Fida-Mers Sultan,3
ain-sebaa-hay-mohammadi,Casablanca-Settat,Aïn Sebaâ-Hay Mohammadi,4
moulay-rachid,Casablanca-Settat,Moulay Rachid,3
hay-hassani,Casablanca-Settat,Hay Hassani,3
ain-chock,Casablanca-Settat,Aïn Chock,3
mohammedia,Casablanca-Settat,Mohammédia,3
nouaceur,Casablanca-Settat,Nouaceur,3
mediouna,Casablanca-Settat,Médiouna,2
benslimane,Casablanca-Settat,Benslimane,3
el-jadida,Casablanca-Settat,El Jadida,6
berrechid,Casablanca-Settat,Berrechid,4
settat,Casablanca-Settat,Settat,6
sidi-bennour,Casablanca-Settat,Sidi Bennour,4
agadir-ida-outanane,Souss-Massa,Agadir Ida-Outanane,4
inezgane-ait-melloul,Souss-Massa,Inezgane-Aït Melloul,3
chtouka-ait-baha,Souss-Massa,Chtouka-Aït Baha,3
taroudant-sud,Souss-Massa,Taroudant-Sud,4
taroudant-nord,Souss-Massa,Taroudant-Nord,3
tiznit,Souss-Massa,Tiznit,2
tata,Souss-Massa,Tata,2
guelmim,Guelmim-Oued Noun,Guelmim,2
tan-tan,Guelmim-Oued Noun,Tan-Tan,2
sidi-ifni,Guelmim-Oued Noun,Sidi Ifni,2
assa-zag,Guelmim-Oued Noun,Assa-Zag,2
medina-sidi-youssef,Marrakech-Safi,Medina-Sidi Youssef,3
gueliz-nakhil,Marrakech-Safi,Guéliz-Nakhil,3
menara,Marrakech-Safi,Menara,3
chichaoua,Marrakech-Safi,Chichaoua,4
safi,Marrakech-Safi,Safi,6
al-haouz,Marrakech-Safi,Al Haouz,4
el-kelaa-des-sraghna,Marrakech-Safi,El Kelâa des Sraghna,4
essaouira,Marrakech-Safi,Essaouira,4
rehamna,Marrakech-Safi,Rehamna,3
youssoufia,Marrakech-Safi,Youssoufia,2
tanger-assilah,Tanger-Tétouan-Al Hoceïma,Tanger-Assilah,5
m-diq-fnideq,Tanger-Tétouan-Al Hoceïma,M'diq-Fnideq,2
fahs-anjra,Tanger-Tétouan-Al Hoceïma,Fahs-Anjra,2
tetouan,Tanger-Tétouan-Al Hoceïma,Tétouan,5
ouezzane,Tanger-Tétouan-Al Hoceïma,Ouezzane,3
larache,Tanger-Tétouan-Al Hoceïma,Larache,4
chefchaouen,Tanger-Tétouan-Al Hoceïma,Chefchaouen,4
al-hoceima,Tanger-Tétouan-Al Hoceïma,Al Hoceïma,4
oujda-angad,Oriental,Oujda-Angad,4
nador,Oriental,Nador,4
driouch,Oriental,Driouch,3
jerada,Oriental,Jerada,2
berkane,Oriental,Berkane,3
taourirt,Oriental,Taourirt,2
guercif,Oriental,Guercif,2
figuig,Oriental,Figuig,3
fes-sud,Fès-Meknès,Fès-Sud,4
fes-nord,Fès-Meknès,Fès-Nord,4
ifrane,Fès-Meknès,Ifrane,2
moulay-yaacoub,Fès-Meknès,Moulay Yaâcoub,2
sefrou,Fès-Meknès,Séfrou,3
boulemane,Fès-Meknès,Boulemane,3
el-hajeb,Fès-Meknès,El Hajeb,2
taza,Fès-Meknès,Taza,5
taounate-tissa,Fès-Meknès,Taounate-Tissa,3
karia-ghafsay,Fès-Meknès,Karia-Ghafsay,3
meknes,Fès-Meknès,Meknès,6
beni-mellal,Béni Mellal-Khénifra,Béni-Mellal,6
bzou-ouaouizeght,Béni Mellal-Khénifra,Bzou-Ouaouizeght,3
azilal-demnate,Béni Mellal-Khénifra,Azilal-Demnate,3
fquih-ben-salah,Béni Mellal-Khénifra,Fquih Ben Salah,4
khouribga,Béni Mellal-Khénifra,Khouribga,6
khenifra,Béni Mellal-Khénifra,Khénifra,3
