prefecture_or_province,official_name_fr,seats
Tanger-Assilah,Tanger-Assilah,5
M'diq-Fnideq,M'diq-Fnideq,2
Tétouan,Tétouan,5
Fahs-Anjra,Fahs-Anjra,2
Larache,Larache,4
Al Hoceïma,Al Hoceïma,4
Chefchaouen,Chefchaouen,4
Ouezzane,Ouezzane,3
Oujda-Angad,Oujda-Angad,4
Nador,Nador,4
Driouch,Driouch,3
Jerada,Jerada,2
Berkane,Berkane,3
Taourirt,Taourirt,2
Guercif,Guercif,2
Figuig,Figuig,3
Fès,Fès-Nord,4
Fès,Fès-Sud,4
Meknès,Meknès,6
El Hajeb,El Hajeb,2
Ifrane,Ifrane,2
Moulay Yaâcoub,Moulay Yaâcoub,2
Séfrou,Séfrou,3
Boulemane,Boulemane,3
Taounate,Taounate-Tissa,3
Taounate,Karia-Ghafsay,3
Taza,Taza,5
Rabat,Rabat-Océan,4
Rabat,Rabat-Chellah,3
Salé,Salé-Médina,4
Salé,Salé-El Jadida,3
Skhirate-Témara,Skhirate-Témara,4
Kénitra,Kénitra,4
Kénitra,El Gharb,3
Khémisset,Khémisset-Oulmès,3
Khémisset,Tiflet-Rommani,3
Sidi Kacem,Sidi Kacem,5
Sidi Slimane,Sidi Slimane,3
Béni-Mellal,Béni-Mellal,6
Azilal,Bzou-Ouaouizeght,3
Azilal,Azilal-Demnate,3
Fquih Ben Salah,Fquih Ben Salah,4
Khénifra,Khénifra,3
Khouribga,Khouribga,6
Casablanca-Anfa,Casablanca-Anfa,4
Al Fida-Mers Sultan,Al Fida-Mers Sultan,3
Aïn Sebaâ-Hay Mohammadi,Aïn Sebaâ-Hay Mohammadi,4
Hay Hassani,Hay Hassani,3
Aïn Chock,Aïn Chock,3
Sidi Bernoussi,Sidi Bernoussi,3
Ben M'sick,Ben M'sick,3
Moulay Rachid,Moulay Rachid,3
Mohammédia,Mohammédia,3
El Jadida,El Jadida,6
Nouaceur,Nouaceur,3
Médiouna,Médiouna,2
Benslimane,Benslimane,3
Berrechid,Berrechid,4
Settat,Settat,6
Sidi Bennour,Sidi Bennour,4
Marrakech,Medina-Sidi Youssef Ben Ali,3
Marrakech,Guéliz-Nakhil,3
Marrakech,Menara,3
Chichaoua,Chichaoua,4
Al Haouz,Al Haouz,4
El Kelâa des Sraghna,El Kelâa des Sraghna,4
Essaouira,Essaouira,4
Rehamna,Rehamna,3
Safi,Safi,6
Youssoufia,Youssoufia,2
Errachidia,Errachidia,5
Ouarzazate,Ouarzazate,3
Midelt,Midelt,3
Tinghir,Tinghir,3
Zagora,Zagora,3
Agadir Ida-Outanan,Agadir Ida-Outanan,4
Inezgane-Aït Melloul,Inezgane-Aït Melloul,3
Chtouka-Aït Baha,Chtouka-Aït Baha,3
Taroudant,Taroudant-Sud,4
Taroudant,Taroudant-Nord,3
Tiznit,Tiznit,2
Tata,Tata,2
Guelmim,Guelmim,2
Assa-Zag,Assa-Zag,2
Tan-Tan,Tan-Tan,2
Sidi Ifni,Sidi Ifni,2
Laâyoune,Laâyoune,3
Boujdour,Boujdour,2
Tarfaya,Tarfaya,2
Es-Semara,Es-Semara,2
Oued Eddahab,Oued Eddahab,2
Aousserd,Aousserd,2
